,M2 Supply,Can,Chi,Eur,HK,Jap,Kor,US
2014-10-31,1.3974513976206588,1.5770646936651118,1.2345497948444943,1.5506727873203623,1.5656133881163914,1.696167607194615,1.5829616021802242,2.2129463817633446
2014-11-30,1.4018159396459997,1.6343312264912409,1.3422559366383746,1.6283819100697237,1.5821908797725175,1.882996025228149,1.6050078027713206,2.336977297822748
2014-12-31,1.4114034239288122,1.5707355807881997,1.5864124277537064,1.6108245445848928,1.5523767623761908,1.8815754538751386,1.568984702414706,2.321319487708984
2015-01-31,1.41985443466486,1.5903084630162496,1.7047571977077176,1.6852931670894684,1.6238643517000664,1.8710681830724212,1.570318379300901,2.297651370969093
2015-02-28,1.4353056388432142,1.663022280709911,1.677872374668808,1.8184822566067433,1.6412180586475276,1.9790763792688706,1.607250956529596,2.388342593819794
2015-03-31,1.437288422477995,1.6328100617124672,1.8631929269090546,1.8907803018475597,1.625509450960659,2.0848315746640855,1.6448332941509165,2.36366248068861
2015-04-30,1.4420640294032294,1.6738952042592097,2.201998209924856,1.914973127430678,1.839281367965749,2.151346826468935,1.7213121060295102,2.3958755202573143
2015-05-31,1.445727343069928,1.653237517802428,2.426406397817189,1.9099068247815763,1.8444254731410503,2.1892322594953315,1.7148195203415952,2.418035176017476
2015-06-30,1.451167907921461,1.6204598321773913,2.445123041966246,1.8531097164006423,1.7864339582338102,2.204266164013676,1.68331739065767,2.4061963558563377
2015-07-31,1.4571041686816892,1.5828072834187448,1.9566074460005871,1.8744995718177873,1.6412193813900113,2.2017310677496122,1.6644649343035076,2.38739740667171
2015-08-31,1.4629799787213449,1.515765302240274,1.788955097183045,1.7453996504721554,1.4862291450628007,2.0858758108518733,1.572290406921858,2.295159495802168
2015-09-30,1.4695086565431845,1.4796794740100065,1.632528959878409,1.6884361032612425,1.4386557472785624,1.9590482786011298,1.5912088098445722,2.2231239874570177
2015-10-31,1.4740908211625867,1.5123480614723608,1.7121238540864554,1.7455090194998704,1.5206717021767653,2.0044546328007087,1.6534599707269824,2.309681136331509
2015-11-30,1.4843069929393544,1.469338299723827,1.871551772934588,1.8104821471682944,1.4932169856323516,2.1410386364567824,1.6241358733221123,2.3586023030094
2015-12-31,1.4919358738756152,1.4308859617404028,1.825293344394869,1.724178636528729,1.446656361626292,2.044815559430555,1.5964564753706019,2.3095665974711967
2016-01-31,1.507810233097977,1.3425800284008949,1.4814222065988296,1.5888331626059913,1.2821588998905875,1.8531553596249961,1.536894271254508,2.1080771741087867
2016-02-29,1.5175911596866218,1.3926496681467184,1.4825020526652546,1.551471655427431,1.2912241281950196,1.7374829854434983,1.559572326818612,2.1501336862733185
2016-03-31,1.525365122352257,1.4713253907785542,1.5378472843726314,1.6090913652141243,1.3595265677587478,1.801272574140538,1.6115732474256608,2.28226088375522
2016-04-30,1.5350855982203293,1.5102672198318314,1.5571842878920836,1.6332200157692918,1.4058828412439077,1.8054955607024001,1.6242172502865544,2.3392687433505586
2016-05-31,1.5431497243447125,1.52750708729719,1.4777903202673612,1.622604706125287,1.3513085386016723,1.811208973944513,1.6040246168469459,2.3348768824685298
2016-06-30,1.5512380307573248,1.5460120975159612,1.5248141135388587,1.5736389384588347,1.3810469286230502,1.7265930535170892,1.6118240135158324,2.3549360732277274
2016-07-31,1.5583107650643178,1.5920428081740896,1.5669144812900542,1.610669933533068,1.4539314735754636,1.7766950884221377,1.6367542379986562,2.4353637852847774
2016-08-31,1.5678740690589015,1.6087838646588566,1.598180275451855,1.6320075329942214,1.5194347370740569,1.811985056183788,1.6623919645527487,2.4556521521033448
2016-09-30,1.5750314343746956,1.6053874157247896,1.571010181291687,1.6338833439578064,1.5747873596738002,1.8122472699631296,1.6615435243427872,2.4443002796314746
2016-10-31,1.583772608569492,1.613306246433589,1.6063130324465682,1.611323788562822,1.548760620772409,1.8498661133525423,1.6421789304364405,2.4012316383660814
2016-11-30,1.5927676757906932,1.635098687779617,1.6663874949357604,1.6178973788017417,1.5039602769351468,1.9099289852657395,1.61000913485885,2.4828146263665203
2016-12-31,1.597615823580615,1.679997400436283,1.6383716123494836,1.7029813485139187,1.4806585114452795,2.0822203446344565,1.6507241852252796,2.5649418286221484
2017-01-31,1.606622980945931,1.6975541291014473,1.631809866376597,1.7328705516415794,1.5413071891675418,2.0690180470579618,1.6881070179399331,2.587741127319863
2017-02-28,1.6151465325466663,1.7220380245466536,1.674641369940382,1.7646331892409577,1.5923053576189623,2.0894301459398577,1.6991112561690167,2.6678919499311067
2017-03-31,1.6235370925621415,1.7029809711424104,1.688062676250628,1.7881508296148598,1.6105248143721789,2.0770439686567004,1.746425927157686,2.6714912979089442
2017-04-30,1.6305493761485619,1.7101153817134045,1.6528886261659919,1.8273501077205068,1.6249241308982327,2.048868077440882,1.769872963942765,2.675911846971777
2017-05-31,1.6366790792146222,1.6904471429387447,1.6032229725278497,1.866233211604137,1.691384020972464,2.140558083820685,1.8783881375142837,2.7069888429824127
2017-06-30,1.6399917787020004,1.670801312642522,1.6431858223326459,1.839256331503553,1.7181044908614311,2.1694201300491933,1.9315273206582098,2.761199231644058
2017-07-31,1.64689525099139,1.6671335636193334,1.6841438881687467,1.8208953599058073,1.789232489196305,2.171429614896409,1.9711948482436652,2.7879033996162597
2017-08-31,1.6528919624721905,1.6566849292155221,1.7212725483453777,1.785754405266076,1.845225269389461,2.116345893166006,1.9175129648415326,2.7782700740551873
2017-09-30,1.6580907244414334,1.6951284611623374,1.7469171727546078,1.8298464298401997,1.8689539542817255,2.193632542686413,1.9417954314638823,2.8446630722677706
2017-10-31,1.664522681110357,1.7395190804168486,1.7623186831505175,1.8610741297234932,1.9015610641770428,2.337097459950085,2.033521303463737,2.898844813802651
2017-11-30,1.6687300512622094,1.752688798940315,1.754695547389381,1.8427559482930504,1.9431099136732484,2.4296268190097186,2.0515774656037733,2.9446248528666197
2017-12-31,1.6750652867782168,1.7780086283985463,1.7197832172470762,1.8542033567514917,1.9785674012917536,2.4711431647519193,2.0102957717962338,3.0332252345469786
2018-01-31,1.677144791565914,1.7763532054245394,1.8070057834146647,1.8934192645943515,2.1501824213613974,2.5623212792574757,2.059902035234784,3.156530497546888
2018-02-28,1.6822951929586984,1.6890575062344393,1.6848889313532824,1.801376574355726,2.053640351273128,2.349722153679852,1.9694748689864598,3.0430590183895183
2018-03-31,1.6891382145275153,1.6913335040849453,1.6733163187717668,1.7680566769821353,2.036204511852706,2.311052404593209,1.9867314423767162,3.042619901520335
2018-04-30,1.6927773479059853,1.6972800453575239,1.6240325320679938,1.8135728299992635,2.0389377604022663,2.3955811353459846,2.0108412848164168,3.0075902712925404
