Date,Open,High,Low,Close,Adj Close,Volume
2017-01-26,15634.500000,15652.200195,15313.000000,15402.400391,15402.400391,103081120000
2017-02-02,15409.400391,15554.000000,15375.000000,15554.000000,15554.000000,104324190000
2017-02-09,15583.599609,15850.000000,15583.599609,15845.000000,15845.000000,102467900000
2017-02-16,15842.299805,15943.099609,15789.099609,15830.200195,15830.200195,87383050000
2017-02-23,15900.900391,15913.400391,15396.299805,15599.700195,15599.700195,150866010000
2017-03-02,15586.799805,15645.599609,15488.900391,15497.000000,15497.000000,108203770000
2017-03-09,15501.500000,15583.900391,15370.900391,15520.900391,15520.900391,118267670000
2017-03-16,15562.900391,15623.299805,15241.599609,15348.500000,15348.500000,132965830000
2017-03-23,15350.000000,15661.599609,15326.099609,15657.599609,15657.599609,96441360000
2017-03-30,15653.400391,15758.400391,15457.799805,15643.000000,15643.000000,102666430000
2017-04-06,15684.799805,15757.799805,15604.099609,15648.400391,15648.400391,98837390000
2017-04-13,15634.700195,15687.799805,15529.000000,15552.900391,15552.900391,76954400000
2017-04-20,15583.500000,15792.599609,15566.000000,15649.500000,15649.500000,106541610000
2017-04-27,15643.599609,15656.000000,15427.299805,15543.099609,15543.099609,119205370000
2017-05-04,15510.000000,15672.200195,15367.400391,15633.200195,15633.200195,114383240000
2017-05-11,15616.799805,15700.599609,15273.700195,15273.700195,15273.700195,89813040000
2017-05-18,15229.299805,15538.799805,15164.700195,15419.500000,15419.500000,87444020000
2017-05-25,15463.599609,15504.000000,15254.099609,15349.900391,15349.900391,93776290000
2017-06-01,15363.099609,15495.799805,15337.500000,15372.099609,15372.099609,97895750000
2017-06-08,15354.900391,15594.200195,15166.299805,15170.099609,15170.099609,114150300000
2017-06-15,15111.799805,15325.900391,15078.000000,15148.500000,15148.500000,165503870000
2017-06-22,15157.099609,15378.700195,15153.000000,15355.599609,15355.599609,89711110000
2017-06-29,15359.000000,15359.000000,15033.799805,15153.099609,15153.099609,61073520000
2017-07-06,15086.900391,15297.000000,14915.799805,15144.000000,15144.000000,83997260000
2017-07-13,15147.400391,15257.900391,15086.299805,15244.700195,15244.700195,70439390000
2017-07-20,15281.000000,15319.200195,15082.900391,15171.400391,15171.400391,76496070000
2017-07-27,15218.599609,15272.299805,15052.400391,15265.599609,15265.599609,85178230000
2017-08-03,15297.200195,15324.599609,15176.599609,15217.299805,15217.299805,67595260000
2017-08-10,15198.000000,15209.599609,14995.299805,15082.200195,15082.200195,81658160000
2017-08-17,15068.299805,15111.299805,14918.599609,15063.200195,15063.200195,64344880000
2017-08-24,15095.900391,15174.099609,14934.000000,15133.099609,15133.099609,69591650000
2017-08-31,15155.200195,15228.099609,15014.099609,15059.799805,15059.799805,67719620000
2017-09-07,15062.500000,15163.299805,14953.900391,15126.799805,15126.799805,80168930000
2017-09-14,15129.500000,15392.200195,15119.099609,15389.599609,15389.599609,129023580000
2017-09-21,15379.099609,15609.700195,15373.299805,15609.700195,15609.700195,92316440000
2017-09-28,15591.299805,15752.099609,15587.599609,15721.000000,15721.000000,88021280000
2017-10-05,15738.299805,15816.799805,15680.400391,15800.400391,15800.400391,62215160000
2017-10-12,15785.099609,15866.799805,15742.200195,15782.200195,15782.200195,78985230000
2017-10-19,15755.599609,15922.200195,15754.099609,15854.799805,15854.799805,78140630000
2017-10-26,15881.900391,16105.900391,15864.599609,16029.299805,16029.299805,100679900000
2017-11-02,16026.299805,16131.799805,15968.900391,16105.400391,16105.400391,97626270000
2017-11-09,16038.799805,16096.200195,15829.400391,15878.500000,15878.500000,84790730000
